Retail Client;Date;Article Code;Article Description;Size of Packing Unit ;Prognosis (Packing Units);Realised Orders (Packing Units)
Jumbo Supermarkten BV;09.04.2020;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;;86
Jumbo Supermarkten BV;10.04.2020;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;;300
Jumbo Supermarkten BV;11.04.2020;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;;197
Jumbo Supermarkten BV;13.04.2020;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;464;200
Jumbo Supermarkten BV;14.04.2020;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;475;553
Jumbo Supermarkten BV;15.04.2020;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;503;480
Jumbo Supermarkten BV;16.04.2020;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;583;560
Jumbo Supermarkten BV;17.04.2020;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;703;840
Jumbo Supermarkten BV;18.04.2020;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;787;1170
Jumbo Supermarkten BV;20.04.2020;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;464;440
Jumbo Supermarkten BV;21.04.2020;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;475;520
Jumbo Supermarkten BV;22.04.2020;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;503;720
Jumbo Supermarkten BV;23.04.2020;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;583;600
Jumbo Supermarkten BV;24.04.2020;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;900;600
Jumbo Supermarkten BV;25.04.2020;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;1200;720
Jumbo Supermarkten BV;27.04.2020;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;500;720
Jumbo Supermarkten BV;28.04.2020;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;550;480
Jumbo Supermarkten BV;29.04.2020;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;750;1080
Jumbo Supermarkten BV;30.04.2020;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;850;660
Jumbo Supermarkten BV;01.05.2020;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;950;1200
Jumbo Supermarkten BV;02.05.2020;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;1200;1080
Jumbo Supermarkten BV;04.05.2020;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;500;500
Jumbo Supermarkten BV;05.05.2020;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;550;520
Jumbo Supermarkten BV;06.05.2020;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;750;390
Jumbo Supermarkten BV;07.05.2020;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;850;900
Jumbo Supermarkten BV;08.05.2020;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;950;1040
Jumbo Supermarkten BV;09.05.2020;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;1200;
Jumbo Supermarkten BV;30.12.2019;204732;R PAP RD GG 21ST FP1ST KKZ613 BPR JU8ES;21;534;1080
Jumbo Supermarkten BV;31.12.2019;204732;R PAP RD GG 21ST FP1ST KKZ613 BPR JU8ES;21;669;440
Jumbo Supermarkten BV;02.01.2020;204732;R PAP RD GG 21ST FP1ST KKZ613 BPR JU8ES;21;843;1200
Jumbo Supermarkten BV;03.01.2020;204732;R PAP RD GG 21ST FP1ST KKZ613 BPR JU8ES;21;1035;400
Jumbo Supermarkten BV;04.01.2020;204732;R PAP RD GG 21ST FP1ST KKZ613 BPR JU8ES;21;1223;600
Jumbo Supermarkten BV;06.01.2020;204732;R PAP RD GG 21ST FP1ST KKZ613 BPR JU8ES;21;600;1120
Jumbo Supermarkten BV;07.01.2020;204732;R PAP RD GG 21ST FP1ST KKZ613 BPR JU8ES;21;560;320
Jumbo Supermarkten BV;08.01.2020;204732;R PAP RD GG 21ST FP1ST KKZ613 BPR JU8ES;21;620;1000
Jumbo Supermarkten BV;09.01.2020;204732;R PAP RD GG 21ST FP1ST KKZ613 BPR JU8ES;21;800;660
Jumbo Supermarkten BV;10.01.2020;204732;R PAP RD GG 21ST FP1ST KKZ613 BPR JU8ES;21;900;340
Jumbo Supermarkten BV;11.01.2020;204732;R PAP RD GG 21ST FP1ST KKZ613 BPR JU8ES;21;1320;700
Jumbo Supermarkten BV;13.01.2020;204732;R PAP RD GG 21ST FP1ST KKZ613 BPR JU8ES;21;840;600
