Retail Client;Date;Article Code;Article Description;Size of Packing Unit;Prognosis (Packing Units);Realised Orders (Packing Units)
Jumbo Supermarkten BV;04.01.2022;204732;R PAP RD GG 21ST FP1ST KKZ613 BPR JU8ES;21;;130
Jumbo Supermarkten BV;05.01.2022;204732;R PAP RD GG 21ST FP1ST KKZ613 BPR JU8ES;21;;110
Jumbo Supermarkten BV;06.01.2022;204732;R PAP RD GG 21ST FP1ST KKZ613 BPR JU8ES;21;;470
Jumbo Supermarkten BV;07.01.2022;204732;R PAP RD GG 21ST FP1ST KKZ613 BPR JU8ES;21;;130
Jumbo Supermarkten BV;12.03.2022;805470;ARB 30ELS 10x250 SZW1 DA513T DPB GL 7NL;10;157;
Jumbo Supermarkten BV;14.03.2022;805470;ARB 30ELS 10x250 SZW1 DA513T DPB GL 7NL;10;236;
Jumbo Supermarkten BV;15.03.2022;805470;ARB 30ELS 10x250 SZW1 DA513T DPB GL 7NL;10;152;
Jumbo Supermarkten BV;16.03.2022;805470;ARB 30ELS 10x250 SZW1 DA513T DPB GL 7NL;10;170;
Jumbo Supermarkten BV;17.03.2022;805470;ARB 30ELS 10x250 SZW1 DA513T DPB GL 7NL;10;201;
Jumbo Supermarkten BV;18.03.2022;805470;ARB 30ELS 10x250 SZW1 DA513T DPB GL 7NL;10;224;
Jumbo Supermarkten BV;19.03.2022;805470;ARB 30ELS 10x250 SZW1 DA513T DPB GL 7NL;10;235;
Jumbo Supermarkten BV;21.03.2022;805470;ARB 30ELS 10x250 SZW1 DA513T DPB GL 7NL;10;181;
Jumbo Supermarkten BV;22.03.2022;805470;ARB 30ELS 10x250 SZW1 DA513T DPB GL 7NL;10;152;
Jumbo Supermarkten BV;23.03.2022;805470;ARB 30ELS 10x250 SZW1 DA513T DPB GL 7NL;10;170;
Jumbo Supermarkten BV;24.03.2022;805470;ARB 30ELS 10x250 SZW1 DA513T DPB GL 7NL;10;201;
Jumbo Supermarkten BV;25.03.2022;805470;ARB 30ELS 10x250 SZW1 DA513T DPB GL 7NL;10;224;
Jumbo Supermarkten BV;26.03.2022;805470;ARB 30ELS 10x250 SZW1 DA513T DPB GL 7NL;10;235;
Jumbo Supermarkten BV;28.03.2022;805470;ARB 30ELS 10x250 SZW1 DA513T DPB GL 7NL;10;181;
Jumbo Supermarkten BV;29.03.2022;805470;ARB 30ELS 10x250 SZW1 DA513T DPB GL 7NL;10;152;
Jumbo Supermarkten BV;30.03.2022;805470;ARB 30ELS 10x250 SZW1 DA513T DPB GL 7NL;10;170;
Jumbo Supermarkten BV;31.03.2022;805470;ARB 30ELS 10x250 SZW1 DA513T DPB GL 7NL;10;201;
Jumbo Supermarkten BV;01.04.2022;805470;ARB 30ELS 10x250 SZW1 DA513T DPB GL 7NL;10;224;
Jumbo Supermarkten BV;02.04.2022;805470;ARB 30ELS 10x250 SZW1 DA513T DPB GL 7NL;10;235;
Jumbo Supermarkten BV;04.04.2022;805470;ARB 30ELS 10x250 SZW1 DA513T DPB GL 7NL;10;181;
Jumbo Supermarkten BV;05.04.2022;805470;ARB 30ELS 10x250 SZW1 DA513T DPB GL 7NL;10;152;
Jumbo Supermarkten BV;03.01.2022;805924;R FRAM 6x125 SKOD KKZ410 BPR JU 8PT;6;401;
Jumbo Supermarkten BV;04.01.2022;805924;R FRAM 6x125 SKOD KKZ410 BPR JU 8PT;6;315;
Jumbo Supermarkten BV;05.01.2022;805924;R FRAM 6x125 SKOD KKZ410 BPR JU 8PT;6;346;
Jumbo Supermarkten BV;06.01.2022;805924;R FRAM 6x125 SKOD KKZ410 BPR JU 8PT;6;402;
Jumbo Supermarkten BV;07.01.2022;805924;R FRAM 6x125 SKOD KKZ410 BPR JU 8PT;6;443;
Jumbo Supermarkten BV;08.01.2022;805924;R FRAM 6x125 SKOD KKZ410 BPR JU 8PT;6;478;
Jumbo Supermarkten BV;10.01.2022;805924;R FRAM 6x125 SKOD KKZ410 BPR JU 8PT;6;220;275
Jumbo Supermarkten BV;11.01.2022;805924;R FRAM 6x125 SKOD KKZ410 BPR JU 8PT;6;196;305
Jumbo Supermarkten BV;12.01.2022;805924;R FRAM 6x125 SKOD KKZ410 BPR JU 8PT;6;241;
Jumbo Supermarkten BV;13.01.2022;805924;R FRAM 6x125 SKOD KKZ410 BPR JU 8PT;6;253;
Jumbo Supermarkten BV;14.01.2022;805924;R FRAM 6x125 SKOD KKZ410 BPR JU 8PT;6;278;
Jumbo Supermarkten BV;15.01.2022;805924;R FRAM 6x125 SKOD KKZ410 BPR JU 8PT;6;312;
Jumbo Supermarkten BV;17.01.2022;805924;R FRAM 6x125 SKOD KKZ410 BPR JU 8PT;6;278;
Jumbo Supermarkten BV;18.01.2022;805924;R FRAM 6x125 SKOD KKZ410 BPR JU 8PT;6;248;
Jumbo Supermarkten BV;19.01.2022;805924;R FRAM 6x125 SKOD KKZ410 BPR JU 8PT;6;320;
Jumbo Supermarkten BV;20.01.2022;805924;R FRAM 6x125 SKOD KKZ410 BPR JU 8PT;6;324;
Jumbo Supermarkten BV;21.01.2022;805924;R FRAM 6x125 SKOD KKZ410 BPR JU 8PT;6;358;
Jumbo Supermarkten BV;22.01.2022;805924;R FRAM 6x125 SKOD KKZ410 BPR JU 8PT;6;405;
Jumbo Supermarkten BV;05.01.2022;805950;R FRAM 6x125 SKOD KKZ410 BPR JU 8MA;6;;620
Jumbo Supermarkten BV;06.01.2022;805950;R FRAM 6x125 SKOD KKZ410 BPR JU 8MA;6;;220
Jumbo Supermarkten BV;07.01.2022;805950;R FRAM 6x125 SKOD KKZ410 BPR JU 8MA;6;;300
Jumbo Supermarkten BV;08.01.2022;805950;R FRAM 6x125 SKOD KKZ410 BPR JU 8MA;6;;450
Jumbo Supermarkten BV;10.01.2022;805950;R FRAM 6x125 SKOD KKZ410 BPR JU 8MA;6;;45
Jumbo Supermarkten BV;11.01.2022;805950;R FRAM 6x125 SKOD KKZ410 BPR JU 8MA;6;;195
Jumbo Supermarkten BV;12.01.2022;805950;R FRAM 6x125 SKOD KKZ410 BPR JU 8MA;6;;400
Jumbo Supermarkten BV;13.01.2022;805950;R FRAM 6x125 SKOD KKZ410 BPR JU 8MA;6;;280
Jumbo Supermarkten BV;15.01.2022;805950;R FRAM 6x125 SKOD KKZ410 BPR JU 8MA;6;;740
Jumbo Supermarkten BV;17.01.2022;805950;R FRAM 6x125 SKOD KKZ410 BPR JU 8MA;6;;102
Jumbo Supermarkten BV;19.01.2022;805950;R FRAM 6x125 SKOD KKZ410 BPR JU 8MA;6;;320
Jumbo Supermarkten BV;20.01.2022;805950;R FRAM 6x125 SKOD KKZ410 BPR JU 8MA;6;;220
Jumbo Supermarkten BV;21.01.2022;805950;R FRAM 6x125 SKOD KKZ410 BPR JU 8MA;6;;240
Jumbo Supermarkten BV;03.02.2022;812970;R MELOE 5SMIKE CANE 6KG FK415 PKB 7HN;6;;93
Jumbo Supermarkten BV;04.02.2022;812970;R MELOE 5SMIKE CANE 6KG FK415 PKB 7HN;6;;100
Jumbo Supermarkten BV;05.02.2022;812970;R MELOE 5SMIKE CANE 6KG FK415 PKB 7HN;6;;140
Jumbo Supermarkten BV;07.02.2022;812970;R MELOE 5SMIKE CANE 6KG FK415 PKB 7HN;6;;80
