Retail Client;Date;Article Code;Article Description;Size of Packing Unit;Prognosis (Packing Units);Realised Orders (Packing Units)
Plus Hollander (Superunie);03.01.2022;865542;R TRT MGEN 5KG FK414 PKB 7ES;5;;300
Plus Hollander (Superunie);03.01.2022;883241;R BBES 12x125 SKOD D410ZF BPR PL 7PE;12;0;930
Plus Hollander (Superunie);03.01.2022;886770;R FRAM 12x125 SKOD FK408 BPR PL 7MA;12;0;400
Plus Hollander (Superunie);03.01.2022;886771;R FRAM 12x125 SKOD FK408 BPR PL 7PT;12;400;
Plus Hollander (Superunie);03.01.2022;888061;BRAA 6x125 S74TS KKZ410 BPR PL 8NL;6;20;
Plus Hollander (Superunie);03.01.2022;890194;ARB 30GY 10x250 S22TS KKZ613BPR GB PL9NL;10;40;20
Plus Hollander (Superunie);03.01.2022;902849;KK SN 10x5ST ZAK KKZ410 BPR PL 8NL;10;40;60
Plus Hollander (Superunie);03.01.2022;903043;KK SN 10x10ST ZAK KKZ416 BPR PL 8NL;10;40;60
Plus Hollander (Superunie);03.01.2022;908010;PAP MIN MXSWBI 10x150ZAK KKZ416BPR PL8ES;10;30;20
Plus Hollander (Superunie);03.01.2022;910779;R BBES 10x500 S41TS KKZ610 BPR PL 7PE;10;40;
Plus Hollander (Superunie);03.01.2022;913408;TRT MID 5KG TUSVL DT414G BPR PZ 8NL;5;150;
Plus Hollander (Superunie);03.01.2022;913743;BBES 10x500 S41TS KKZ610 BPR PL 7NL;10;20;
Plus Hollander (Superunie);03.01.2022;919152;KK 35-40G 36ST SEAL KKZ618BPR GB PL4P8NL;36;420;240
Plus Hollander (Superunie);03.01.2022;922387;R FRAM 4x250 S75TS KKZ410 BPR PL 7PT;4;50;20
Plus Hollander (Superunie);03.01.2022;922933;R BRAA 6x125 S74TS KKZ410 BPR PL 7NL;6;;40
Plus Hollander (Superunie);03.01.2022;925816;TCH MX 5x500 SKOTS KKZ410 BPR PL 8EU;5;80;40
Plus Hollander (Superunie);03.01.2022;926203;FRAM 12x125 S74TS D410MZ BPR PL 4P 7NL;12;400;
Plus Hollander (Superunie);03.01.2022;926414;RBES 6x125 S74TS KKZ410 BPR PL 7NL;6;60;
Plus Hollander (Superunie);03.01.2022;926415;RBES 12x125 S74TS D410MZ BPR PL 7NL;12;50;50
Plus Hollander (Superunie);03.01.2022;927608;BBES 12x125 S74TS D410MZ BPR PL 8NL;12;1000;
Plus Hollander (Superunie);03.01.2022;928758;R BBES 4x300 S78TS KKZ410 BPR PL 7PE;4;80;
Plus Hollander (Superunie);03.01.2022;928807;TCH MX 10x250 ZAKF KKZ410 BPR PL 8EU;10;40;10
Plus Hollander (Superunie);03.01.2022;928814;TCH PRU 10x250 ZAKF KKZ410 BPR PL 8ES;10;160;40
Plus Hollander (Superunie);03.01.2022;928993;R ZFMIX BBFR 4x300 S40TS KKZ410BPR PL7EN;4;100;
Plus Hollander (Superunie);03.01.2022;929006;PAP MIN MXSWBI10x300ZAKF KKZ416BPR PL8ES;10;20;30
Plus Hollander (Superunie);03.01.2022;929275;R TPR MID 8x500 SKFP KKZ613 BPR PL 8ES;8;240;320
Plus Hollander (Superunie);03.01.2022;929973;R BBES 12x125 S74TS D410MZ BPR PL 7ZA;12;;70
Plus Hollander (Superunie);04.01.2022;865542;R TRT MGEN 5KG FK414 PKB 7ES;5;;150
Plus Hollander (Superunie);04.01.2022;886770;R FRAM 12x125 SKOD FK408 BPR PL 7MA;12;0;76
Plus Hollander (Superunie);04.01.2022;886771;R FRAM 12x125 SKOD FK408 BPR PL 7PT;12;400;200
Plus Hollander (Superunie);04.01.2022;886772;R FRAM 12x125 SKOD FK408 BPR PL 7ES;12;;424
Plus Hollander (Superunie);04.01.2022;888061;BRAA 6x125 S74TS KKZ410 BPR PL 8NL;6;20;
Plus Hollander (Superunie);04.01.2022;890194;ARB 30GY 10x250 S22TS KKZ613BPR GB PL9NL;10;80;30
Plus Hollander (Superunie);04.01.2022;902849;KK SN 10x5ST ZAK KKZ410 BPR PL 8NL;10;120;60
Plus Hollander (Superunie);04.01.2022;903043;KK SN 10x10ST ZAK KKZ416 BPR PL 8NL;10;120;40
Plus Hollander (Superunie);04.01.2022;908010;PAP MIN MXSWBI 10x150ZAK KKZ416BPR PL8ES;10;60;40
Plus Hollander (Superunie);04.01.2022;910779;R BBES 10x500 S41TS KKZ610 BPR PL 7PE;10;40;30
Plus Hollander (Superunie);04.01.2022;913408;TRT MID 5KG TUSVL DT414G BPR PZ 8NL;5;150;
Plus Hollander (Superunie);04.01.2022;913743;BBES 10x500 S41TS KKZ610 BPR PL 7NL;10;20;
Plus Hollander (Superunie);04.01.2022;919152;KK 35-40G 36ST SEAL KKZ618BPR GB PL4P8NL;36;360;480
Plus Hollander (Superunie);04.01.2022;922387;R FRAM 4x250 S75TS KKZ410 BPR PL 7PT;4;50;50
Plus Hollander (Superunie);04.01.2022;922933;R BRAA 6x125 S74TS KKZ410 BPR PL 7NL;6;;60
Plus Hollander (Superunie);04.01.2022;925808;TCH PRU 5x500 SKOTS KKZ410 BPR PL 8ES;5;400;
Plus Hollander (Superunie);04.01.2022;925816;TCH MX 5x500 SKOTS KKZ410 BPR PL 8EU;5;160;80
Plus Hollander (Superunie);04.01.2022;926203;FRAM 12x125 S74TS D410MZ BPR PL 4P 7NL;12;400;
Plus Hollander (Superunie);04.01.2022;926414;RBES 6x125 S74TS KKZ410 BPR PL 7NL;6;120;
Plus Hollander (Superunie);04.01.2022;926415;RBES 12x125 S74TS D410MZ BPR PL 7NL;12;50;50
Plus Hollander (Superunie);04.01.2022;927608;BBES 12x125 S74TS D410MZ BPR PL 8NL;12;800;
Plus Hollander (Superunie);04.01.2022;928758;R BBES 4x300 S78TS KKZ410 BPR PL 7PE;4;80;
Plus Hollander (Superunie);04.01.2022;928807;TCH MX 10x250 ZAKF KKZ410 BPR PL 8EU;10;160;30
Plus Hollander (Superunie);04.01.2022;928814;TCH PRU 10x250 ZAKF KKZ410 BPR PL 8ES;10;160;80
Plus Hollander (Superunie);04.01.2022;928993;R ZFMIX BBFR 4x300 S40TS KKZ410BPR PL7EN;4;80;50
