"Article","Product_hier_1","Product_hier_2","Product_hier_3","Country_of_origin","Class","Contents","Crop","Consumer_unit","Price_group","Quality","Item_description"
225207,"exotic fruits","melon","cantaloupe","ES","I","5","meloe","kilogram",2143,8,"VVMELOE 4S CANT 5KG FK413 PKB 8ES"
225209,"exotic fruits","melon","cantaloupe","CR","I","5","meloe","kilogram",2143,8,"VVMELOE 5S CANT 5KG FK414 PKB 8CR"
225212,"exotic fruits","melon","cantaloupe","BR","I","5","meloe","kilogram",2174,8,"VVR MELOE 6SCANT 5KG FK609 PKB 8BR"
225216,"exotic fruits","melon","cantaloupe","ES","I","5","meloe","kilogram",2143,8,"VVR MELOE 6SCANT 5KG FK413 PKB 8ES"
225217,"exotic fruits","melon","cantaloupe","HN","I","5","meloe","kilogram",2174,8,"VVR MELOE 6SCANT 5KG FK414 PKB 8HN"
225221,"exotic fruits","melon","cantaloupe","IT","I","6","meloe","kilogram",2143,8,"VVMELOE 5S CANT 6KG FK414 PKB 8IT"
225222,"exotic fruits","melon","cantaloupe","IT","I","5","meloe","kilogram",2143,8,"VVMELOE 5S CANT 5KG FK417 PKB 8IT"
225223,"exotic fruits","melon","cantaloupe","IT","I","5","meloe","kilogram",2143,8,"VVMELOE 6S CANT 5KG FK417 PKB 8IT"
225226,"exotic fruits","melon","galia","PA","I","5","meloe","kilogram",2143,8,"VVMELOE 5S GALI 5KG FK414 PKB 8PA"
225227,"exotic fruits","melon","galia","IL","I","4,5","meloe","kilogram",2143,8,"VVMELOE 6S GALI 4,5KG FK413 PKB 8IL"
225229,"exotic fruits","melon","galia","PA","I","5","meloe","kilogram",2143,8,"VVMELOE 6S GALI 5KG FK414 PKB 8PA"
225231,"exotic fruits","melon","galia","ES","I","5","meloe","kilogram",2143,8,"VVMELOE 4S GALI 5KG FK414 PKB 8ES"
225233,"exotic fruits","melon","galia","ES","I","5","meloe","kilogram",2143,8,"VVR MELOE 5SGALI 5KG FK414 PKB 8ES"
225234,"exotic fruits","melon","galia","HN","I","5","meloe","kilogram",2143,8,"VVMELOE 5S GALI 5KG FK414 PKB 8HN"
225235,"exotic fruits","melon","galia","BR","I","5","meloe","kilogram",2143,8,"VVMELOE 6S GALI 5KG FK413 PKB 8BR"
225236,"exotic fruits","melon","galia","ES","I","5","meloe","kilogram",2143,8,"VVMELOE 6S GALI 5KG FK413 PKB 8ES"
225237,"exotic fruits","melon","galia","HN","I","5","meloe","kilogram",2174,8,"VVMELOE 6SGALI 5KG FK413 PKB 8HN"
225240,"exotic fruits","melon","galia","ES","I","10","meloe","kilogram",2143,8,"VVMELOE 10S GALI 10KG KK618 PP 8ES"
225242,"exotic fruits","melon","galia","ES","I","10","meloe","kilogram",2143,8,"VVMELOE 12S GALI 10KG KK618 PP 8ES"
225243,"exotic fruits","melon","galia","ES","I","12","meloe","kilogram",2143,8,"VVMELOE 12S GALI 12KG KK618 PP 8ES"
225244,"exotic fruits","melon","galia","CR","I","5","meloe","kilogram",2143,8,"VVMELOE 6S GALI 5KG FK413 PKB 8CR"
225245,"exotic fruits","melon","yellow hd","BR","I","10","meloe","kilogram",2143,8,"VVMELOE GE 5S HOND 10KG FK416 PKB 8BR"
225248,"exotic fruits","melon","yellow hd","BR","I","10","meloe","kilogram",2143,8,"VVMELOE GE 7S HOND 10KG FK416 PKB 8BR"
225252,"exotic fruits","melon","yellow hd","ES","I","9","meloe","kilogram",2143,8,"VVMELOE GE 7S HOND 9KG FK515 PKB 8ES"
225257,"exotic fruits","melon","yellow hd","BR","I","10","meloe","kilogram",2143,8,"VVMELOE GE 9S HOND 10KG FK416 PKB 8BR"
225258,"exotic fruits","melon","yellow hd","ES","I","10","meloe","kilogram",2143,8,"VVMELOE GE 9S HOND 10KG FK416 PKB 8ES"
225259,"exotic fruits","melon","yellow hd","ES","I","9","meloe","kilogram",2143,8,"VVMELOE GE 9S HOND 9KG FK515 PKB 8ES"
225260,"exotic fruits","melon","yellow hd","BR","I","10","meloe","kilogram",2143,8,"VVMELOE GE 10S HOND 10KG FK416 PKB 8BR"
225261,"exotic fruits","melon","yellow hd","IN","I","10","meloe","kilogram",2143,8,"VVMELOE GE 10S HOND 10KG FK416 PKB 8IN"
225262,"exotic fruits","melon","yellow hd","ES","I","9","meloe","kilogram",2143,8,"VVMELOE GE 10S HOND 9KG FK515 PKB 8ES"
225263,"exotic fruits","melon","yellow hd","ES","I","12","meloe","kilogram",2143,8,"VVMELOE GE 10S HOND 12KG FK428 PKB 8ES"
225264,"exotic fruits","melon","yellow hd","PA","I","10","meloe","kilogram",2143,8,"VVMELOE GE 10S HOND 10KG FK416 PKB 8PA"
225265,"exotic fruits","melon","yellow hd","PA","I","10","meloe","kilogram",2143,8,"VVMELOE GE 11S HOND 10KG FK416 PKB 8PA"
225266,"exotic fruits","melon","yellow hd","BR","I","10","meloe","kilogram",2143,8,"VVMELOE GE 12S HOND 10KG FK416 PKB 8BR"
225267,"exotic fruits","melon","yellow hd","ES","I","12","meloe","kilogram",2143,8,"VVMELOE GE 12S HOND 12KG FK428 PKB 8ES"
225268,"exotic fruits","melon","yellow hd","CR","I","10","meloe","kilogram",2143,8,"VVMELOE GE 7S HOND 10KG FK416 PKB 8CR"
225269,"exotic fruits","melon","yellow hd","CR","I","10","meloe","kilogram",2143,8,"VVMELOE GE 9S HOND 10KG FK416 PKB 8CR"
225270,"exotic fruits","melon","yellow hd","CR","I","10","meloe","kilogram",2143,8,"VVMELOE GE 10S HOND 10KG FK416 PKB 8CR"
225276,"exotic fruits","melon","piel de sapo","ES","I","14","meloe","kilogram",2143,8,"VVMELOE 6S PDS 14KG FK617 PKB 8ES"
225277,"exotic fruits","melon","piel de sapo","ES","I","9","meloe","kilogram",2143,8,"VVMELOE 6S PDS 9KG FK515 PKB 8ES"
225278,"exotic fruits","melon","piel de sapo","ES","I","12","meloe","kilogram",2143,8,"VVMELOE 6S PDS 12KG FK428 PKB 8ES"
225280,"exotic fruits","melon","piel de sapo","ES","I","10","meloe","kilogram",2143,8,"VVMELOE 6S PDS 10KG FK416 PKB 8ES"
225283,"exotic fruits","melon","piel de sapo","BR","I","10","meloe","kilogram",2143,8,"VVMELOE 6S PDS 10KG FK416 PKB 8BR"
225284,"exotic fruits","melon","watermelon","BR","I","20","wamel","kilogram",2174,8,"VVWAMEL 5S QUET 20KG FK617 PKB 8BR"
225285,"exotic fruits","melon","watermelon","CR","I","18","wamel","kilogram",2174,8,"VVWAMEL 5S QUET 18KG FK617 PKB 8CR"
225287,"exotic fruits","melon","watermelon","ES","I","15","wamel","kilogram",2174,8,"VVWAMEL 6S CRIM 15KG FK617 PKB 8ES"
225288,"exotic fruits","melon","watermelon","ES","I","20","wamel","kilogram",2174,8,"VVWAMEL 4S FASH 20KG FK624 PKB 8ES"
225289,"exotic fruits","melon","watermelon","ES","I","20","wamel","kilogram",2174,8,"VVWAMEL 5S FASH 20KG FK624 PKB 8ES"
225290,"exotic fruits","melon","watermelon","ES","I","15","wamel","kilogram",2174,8,"VVWAMEL 5S FASH 15KG FK617 PKB 8ES"
225291,"exotic fruits","melon","watermelon","ES","I","15","wamel","kilogram",2143,8,"VVR WAMEL 6SFASH 15KG FK617 PKB 8ES"
225292,"exotic fruits","melon","watermelon","ES","I","20","wamel","kilogram",2174,8,"VVWAMEL 6S FASH 20KG FK624 PKE 8ES"
225293,"exotic fruits","melon","watermelon","PA","I","17","wamel","kilogram",2174,8,"VVWAMEL 6S QUET 17KG FK617 PKB 8PA"
225294,"exotic fruits","melon","watermelon","PA","I","17","wamel","kilogram",2174,8,"VVWAMEL 5S QUET 17KG FK617 PKB 8PA"
225295,"exotic fruits","melon","watermelon","PA","I","16","wamel","kilogram",2174,8,"VVWAMEL 6S QUET 16KG FK617 PKB 8PA"
225296,"exotic fruits","melon","watermelon","PA","I","16","wamel","kilogram",2174,8,"VVWAMEL 7S QUET 16KG FK617 PKB 8PA"
225297,"exotic fruits","melon","watermelon","IT","I","20","wamel","kilogram",2174,8,"VVWAMEL 6S 20KG FK624 PKB 8IT"
225298,"exotic fruits","melon","watermelon","ES","I","20","wamel","kilogram",2174,8,"VVWAMEL ZP 4S 20KG FK624 PKE 8ES"
225299,"exotic fruits","melon","watermelon","ES","I","20","wamel","kilogram",2174,8,"VVWAMEL ZP 5S 20KG FK624 PKE 8ES"
225300,"exotic fruits","melon","watermelon","ES","I","15","wamel","kilogram",2174,8,"VVWAMEL ZP 6S ACRE 15KG FK624 PKB 8ES"
225301,"exotic fruits","melon","watermelon","IT","I","15","wamel","kilogram",2174,8,"VVWAMEL ZP 6S 15KG FK617 PKB 8IT"
225302,"exotic fruits","melon","watermelon","ES","I","16","wamel","kilogram",2174,8,"VVWAMEL ZP 6S 16KG FK617 PKB 8ES"
225394,"exotic fruits","melon","melon special","NL","I","4","meloe","stuks",1315,7,"VVMELOE 4S GY OGEN 4XST PB415 PP PL 7NL"
225395,"exotic fruits","melon","melon special","NL","I","5","meloe","stuks",1315,7,"VVMELOE 5SOGEN 5ST PB415 PP 7NL"
225396,"exotic fruits","melon","melon special","NL","I","6","meloe","stuks",1315,7,"VVMELOE 6SOGEN 6ST PB415 PP 7NL"
225414,"exotic fruits","melon","cantaloupe","BR","I","5","meloe","kilogram",2143,8,"VVMELOE 5S CANT 5KG FK413 PKB 8BR"
