"Article","Product_hier_1","Product_hier_2","Product_hier_3","Country_of_origin","Class","Contents","Crop","Consumer_unit","Price_group","Quality","Item_description"
101079,"vegetables","paprika","paprika small","NL","I","20","pap","500 gram",1120,8,"VVPAP MXR8G7G8 20X500FP3ST D621HL EP AN8"
101080,"vegetables","paprika","paprika small","NL","I","20","pap","500 gram",1120,8,"VVPAP MXR8G7G8 20X500FP3ST D621HL EP AN8"
101081,"vegetables","paprika","paprika small","NL","I","20","pap","500 gram",1120,8,"VVPAP MXR8G7G8 20X500FP3ST D621HL EP AN8"
101082,"vegetables","paprika","paprika small","NL","I","20","pap","500 gram",1120,8,"VVPAP MXR8G7G8 20X500FP3ST D621HL EP AN8"
101083,"vegetables","paprika","paprika small","NL","I","20","pap","500 gram",1120,8,"VVPAP MXR8G7G8 20X500FP3ST D621HL EP AN8"
101084,"vegetables","paprika","paprika small","NL","I","20","pap","500 gram",1120,8,"VVPAP MXR8G7G8 20X500FP3ST D621HL EP AN8"
101085,"vegetables","paprika","paprika small","NL","I","20","pap","500 gram",1120,8,"VVPAP MXR8G7G8 20X500FP3ST D621HL EP AN8"
101086,"vegetables","paprika","paprika small","NL","I","20","pap","500 gram",1120,8,"VVPAP MXR8G7G8 20X500FP3ST D621HL EP AN8"
101087,"vegetables","paprika","paprika small","NL","I","20","pap","500 gram",1120,8,"VVPAP MXR8G7G8 20X500FP3ST D621HL EP AN8"
101088,"vegetables","paprika","paprika small","NL","I","20","pap","500 gram",1120,8,"VVPAP MXR8G7G8 20X500FP3ST D621HL EP AN8"
101089,"vegetables","paprika","paprika small","NL","I","20","pap","500 gram",1120,8,"VVPAP MXR8G7G8 20X500FP3ST D621HL EP AN8"
101090,"vegetables","paprika","paprika small","NL","I","20","pap","500 gram",1120,8,"VVPAP MXR8G7G8 20X500FP3ST D621HL EP AN8"
101091,"vegetables","paprika","paprika small","NL","I","20","pap","500 gram",1120,8,"VVPAP MXR8G7G8 20X500FP3ST D621HL EP AN8"
101092,"vegetables","paprika","paprika small","NL","I","20","pap","500 gram",1120,8,"VVPAP MXR8G7G8 20X500FP3ST D621HL EP AN8"
101093,"vegetables","paprika","paprika small","NL","I","20","pap","500 gram",1120,8,"VVPAP MXR8G7G8 20X500FP3ST D621HL EP AN8"
