"Article","Product_hier_1","Product_hier_2","Product_hier_3","Country_of_origin","Class","Contents","Crop","Consumer_unit","Price_group","Quality","Item_description"
230011,"mixed fruits","mix fruit","mixed fruits","UN","I","4","frmx2","6 stuks",1020,8,"VVFRMX2 4X6ST SZWS KK613 PP SB 8UN"
230081,"mixed fruits","mix fruit","mixed fruits","UN","I","5","frmx1","8 stuks",1020,8,"VVFRMX1 5X8ST SGRS KK618 PP PL 8UN"
230083,"mixed fruits","mix fruit","mixed fruits","EN","I","5","frmx1","8 stuks",1020,8,"VVFRMX1 5X8ST SGRS KK618 PP JU 8EN"
244891,"mixed fruits","mix fruit","mixed fruits","UN","I","5","frmx1","8 stuks",1020,8,"VVFRMX1 5X8ST SSZE KK618 PP 8UN"
244892,"mixed fruits","mix fruit","mixed fruits","UN","I","5","frmx1","8 stuks",1020,8,"VVFRMX1 5X8ST SSZE KK618 PP 8UN"
244893,"mixed fruits","mix fruit","mixed fruits","UN","I","5","frmx1","8 stuks",1020,8,"VVFRMX1 5X8ST SSZE KK618 PP JU 8UN"
246539,"mixed fruits","mix fruit","mixed fruits","UN","I","5","frmx1","8 stuks",1020,8,"VVFRMX1 5X8ST SSZE KK618 PP 8UN"
246641,"mixed fruits","mix fruit","mixed fruits","EN","I","5","frmx1","8 stuks",1020,8,"VVFRMX1 5X8ST SZWS KKZ618 BPR JU 8EN"
246867,"mixed fruits","mix fruit","mixed fruits","UN","I","5","frmx1","8 stuks",1020,8,"VVVVFRMX1 5X8ST SZWS KK618 PP SD 8UN"
246878,"mixed fruits","mix fruit","mixed fruits","NL","I","6","frumx","4 stuks",1020,8,"VVFRUMX AP-PE 6X4ST SZWS DF614Z EP 8NL"
899691,"mixed fruits","mix fruit","mixed fruits","EN","I","1","frumx","stuks",8750,8,"R FRUMX 1ST FK420 BPR BIO 8EN"
913383,"mixed fruits","mix fruit","mixed fruits","EN","I","35","frumx","stuks",2000,8,"VVR FRUMX 35ST DF414W BPR 8EN"
931275,"mixed fruits","mix fruit","mixed fruits","EN","I","1","frumx","stuks",1024,8,"FRUMX 1ST FK420 BPR BIO 8EN"
239008,"mixed soft fruits","mixed soft fruits","mixed soft fruits","NL","I","8","zfmix","125 gram",1355,8,"VVZFMIX 8X125 S55D DZ407M DPA 8NL"
239011,"mixed soft fruits","mixed soft fruits","mixed soft fruits","NL","I","2","zfmix","350 gram",1355,8,"VVZFMIX 2X350 SZW3D DZ407M DPA 8NL"
239047,"mixed soft fruits","mixed soft fruits","mixed soft fruits","NL","I","6","zfmix","150 gram",1355,8,"VVZFMIX 6X150 S51D KK410 PP PL 8NL"
239064,"mixed soft fruits","mixed soft fruits","mixed soft fruits","NL","I","9","zfmix","250 gram",1355,8,"VVZFMIX 9X250 S25D PB613 PP PL 8NL"
239078,"mixed soft fruits","mixed soft fruits","mixed soft fruits","NL","I","9","zfmix","220 gram",1355,8,"VVZFMIX 9X220 S21D KK613 PP PL 8NL"
239185,"mixed soft fruits","mixed soft fruits","mixed soft fruits","NL","I","9","zfmix","250 gram",1355,8,"VVZFMIX 9X250 S25D KK613 PP JU 8NL"
239191,"mixed soft fruits","mixed soft fruits","mixed soft fruits","NL","I","6","zfmix","150 gram",1355,8,"VVZFMIX 6X150 S51D KK410 PP VS 8NL"
239195,"mixed soft fruits","mixed soft fruits","mixed soft fruits","NL","I","4","zfmix","250 gram",1355,8,"VVZFMIX 4X250 S25D KK410 PP VS 8NL"
239246,"mixed soft fruits","mixed soft fruits","mixed soft fruits","NL","I","6","zfmix","150 gram",1355,8,"VVZFMIX 6X150 S51TS KK410 PP PL 8NL"
239287,"mixed soft fruits","mixed soft fruits","mixed soft fruits","NL","I","4","zfmix","250 gram",1355,8,"VVZFMIX 4X250 S25D KK410 PP JU 8NL"
239370,"mixed soft fruits","mixed soft fruits","mixed soft fruits","NL","I","6","zfmix","125 gram",1355,8,"VVZFMIX 6X125 S51D KK410 PP PL 8NL"
239405,"mixed soft fruits","mixed soft fruits","mixed soft fruits","NL","I","4","zfmix","250 gram",1355,8,"VVZFMIX 4X250 S25D KK410 PP VM 8NL"
239499,"mixed soft fruits","mixed soft fruits","mixed soft fruits","NL","I","12","zfmix","150 gram",1355,8,"VVZFMIX 12X150 SKRT DZ407M DPA 8NL"
239882,"mixed soft fruits","mixed soft fruits","mixed soft fruits","NL","I","4","zfmix","250 gram",1355,8,"VVZFMIX 4X250 S25D KK410 PP HV 8NL"
239934,"mixed soft fruits","mixed soft fruits","mixed soft fruits","NL","I","4","zfmix","250 gram",1355,8,"VVZFMIX 4X250 S25D KKZ410 BPR JU 8NL"
239942,"mixed soft fruits","mixed soft fruits","mixed soft fruits","NL","I","12","zfmix","150 gram",1355,8,"VVZFMIX 12X150 SKRT FK608 DPA WT 8NL"
240025,"mixed soft fruits","mixed soft fruits","mixed soft fruits","NL","I","4","zfmix","250 gram",1355,6,"VVZFMIX 4X250 S25D KKZ410 BPR JU 6NL"
240362,"mixed soft fruits","mixed soft fruits","mixed soft fruits","UN","I","4","zfmix","300 gram",1355,8,"VVZFMIXBRBBB 4X300 SKOD FK409 DPA 8UN"
240363,"mixed soft fruits","mixed soft fruits","mixed soft fruits","UN","I","12","zfmix","125 gram",1355,8,"VVZFMIXFBBRB 12X125 SKOD FK409 DPA 8UN"
800769,"mixed soft fruits","mixed soft fruits","mixed soft fruits","UN","I","6","zfmix","125 gram",1355,8,"VVZFMIXBBBRFR 6X125 S51D KK410 PP PL 8UN"
800770,"mixed soft fruits","mixed soft fruits","mixed soft fruits","NN","I","4","zfmix","250 gram",1355,8,"ZFMIX BBBRFR 4X250 S25D KKZ410 BPR JU8NN"
800771,"mixed soft fruits","mixed soft fruits","mixed soft fruits","UN","I","4","zfmix","250 gram",1355,8,"VVZFMIXBBBRFR 4X250 S25D KK410 PP VM 8UN"
800772,"mixed soft fruits","mixed soft fruits","mixed soft fruits","UN","I","4","zfmix","250 gram",1355,8,"VVZFMIXBBBRFR 4X250 S25D KK410 PP HV 8UN"
801486,"mixed soft fruits","mixed soft fruits","mixed soft fruits","NL","I","6","zfmix","125 gram",1355,8,"VVZFMIX 6X125 S71D KKZ410 BPR PL 8NL"
801728,"mixed soft fruits","mixed soft fruits","mixed soft fruits","NN","I","6","zfmix","125 gram",1355,8,"VVZFMIX BBBRFR 6X125 S71D KKZ410 BPR PL8"
805234,"mixed soft fruits","mixed soft fruits","mixed soft fruits","NL","I","4","zfmix","250 gram",1355,8,"VVZFMIX 4X250 S25D KKZ410 BPR PL 8NL"
805789,"mixed soft fruits","mixed soft fruits","mixed soft fruits","NN","I","4","zfmix","250 gram",1355,8,"ZFMIX BBBRFR 4X250 S25D KKZ410 BPR PL8NN"
